"parent_id","loss","no_change","tot_pixels","Long","Lat","division_3","ed_3","pland_12","pland_15","pland_3","pland_33","len.st.roads","len.fe.roads","dist.roads","len.rivers","len.waterways","dist.rivers","area.protected","area.indigenous","CODE","IDHM","IDHM_E","IDHM_L","IDHM_R","POP_2018","IPS","PIB","PIB_PC","dem.data","slope.data","wi.data","dist.mining","dist.urban","dist.pa","dist.il","pland_0","loss.1","parent_id.1","no_change.1","pland_4","pland_25","pland_23","pland_32","pland_5","pland_41","pland_24","pland_39","pland_9","pland_20","pland_30","pland_11"
"2806",4,1005761,1005765,-64.6588597070992,-11.662019661798,0.00151035005717071,27221.0236042096,0.0584487812733286,0.0161032356569375,99.9254479830697,NA,0,0,24.3509674772932,145.843137338866,0,0.114306268491434,881.048259763218,5.78228008821607e-05,1100106,0.657,0.519,0.823,0.663,45783,60.75,804570,16955.8,165.25,0.697759509086609,3.5,616.725093133593,95.4863177199687,0,19.7452499694127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1211",5,318374,318379,-70.06426512628,0.50014251543018,0.901038037827605,88870.4526270982,0.00467658899548858,0.0011940227222524,31.4646877730083,0.151441881939013,0,0,40.7928915906787,138.5485171832,0,1.857482777963,0,278.80887146076,NA,NA,NA,NA,NA,NA,NA,NA,NA,175.130004882812,1.10859096050262,23,1113.21598964685,337.54087146757,318.231182464096,1.9761090913507,68.3471541463434,NA,NA,NA,NA,0.0308455869915205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1289",5,11400,11405,-69.7939948292566,-0.580938591148869,0.999876185554706,40720.8808388136,0.000497013446201773,NA,1.11768383781855,0.0155068195214953,0,0,90.959238659873,70.9861649293016,0,1.6889330758808,0,11.8529527338372,NA,NA,NA,NA,NA,NA,NA,NA,NA,175.419998168945,1.70347094535828,23,1074.86809706185,304.601796480084,216.476064513169,16.6061421740066,98.8663123292137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3596",5,1005752,1005757,-62.2264272861383,2.39203439308764,0.00158344282529888,44084.4704763231,0.00149252840281551,0.0765169561176749,99.9207964927573,0.0011940227222524,0,0,51.3357566345605,216.941332144387,0,0.463255754594609,0,898.367134522576,1400308,0.665,0.547,0.813,0.661,17528,56.57,300036,17804.2,209.919998168945,2.81300449371338,7,416.118807472948,131.768015518624,49.9105398589973,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5971",5,1005789,1005794,-54.3885894546778,1.58122356550135,0.00042582276335934,15322.4918322314,NA,0.00298505680563101,99.9787065947865,0.0183083484078702,0,0,17.581968539783,219.600758891088,0,1.27108621164514,16.7779622389849,0,1500503,0.642,0.497,0.809,0.659,34142,59.18,666049,20064.73,272.949996948242,3.05999052524567,8.5,287.606053715766,322.229379707246,16.6988104795987,26.855327035765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9155",5,6387,6392,-43.8480489169154,-2.20256019465163,0.999999978956659,31241.4728899396,0.0830012455156962,0.000894624203163192,0.0438365859549964,0.119183824399185,0,0,37.1535988560465,0,0,24.3646083805232,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233.362550347032,37.8350221438066,92.0737684407371,228.965682768838,99.3623317485231,NA,NA,NA,0.0108348931271987,NA,0.000198805378480709,0.0174948733063024,0.362223399591853,NA,NA,NA,NA,NA,NA,NA
"863",5,1005770,1005775,-71.1453462191877,-4.90526292915244,0.000733457307344532,26999.7144692231,NA,0.0111331011949197,99.9633204076703,0.0255464911347712,0,0,24.2171120413359,202.750331187111,0,1.8753038344047,0,895.924217709768,1300201,0.45,0.259,0.733,0.481,19438,49.72,141142,7407.49,116.310001373291,1.22696548700333,19,1306.62805519244,135.700959831446,324.652002082681,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4562",5,1005748,1005753,-58.9831840252743,-2.47283048675989,9.14483833038826e-05,2360.63077326226,NA,0.00457252370505632,99.9954274762949,NA,13.2139290485167,0,12.4804357217525,305.621944680467,0,1.93652032361597,0,0,1302009,0.654,0.594,0.792,0.594,9064,57.49,107576,11789.2,79.7299995422363,2.96469497680664,13.5,225.330547885901,75.4338937338663,72.6657795582968,57.5998601704433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4880",5,1005764,1005769,-57.9021029617374,-5.17553316952573,0.00675776020707841,142707.507215142,0.000795221513922838,NA,99.6951319520998,0.304072826386245,0,0,42.3438912947702,148.364603405763,0,2.1105022680715,894.828053382018,0,1302900,0.588,0.464,0.8,0.549,62755,56.75,458903,7376.44,119.830001831055,4.79584407806396,12.5,166.828980616735,191.282055881109,0,87.1755714628462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1536",5,1005756,1005761,-68.9831840582484,-0.31066832901046,0.0150245140310056,393487.642018396,0.0367789950189312,0.0641147345600288,99.2462294074904,0.65287686293065,0,0,76.3301758968131,173.628513601449,0,0.377230518506187,0,899.116668180003,1303809,0.609,0.476,0.777,0.61,44816,49.69,313522,7037.06,115.090000152588,2.08831453323364,24,985.601528736372,211.247201250047,173.935092437927,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1699",5,1005756,1005761,-68.4426434695656,-0.58093856804817,0.0123354985956945,102945.632627814,0.00656057748986341,0.0151092087645339,99.8450312074743,0.133299006271316,0,0,95.6551000454831,158.377254380195,0,3.10089424148094,0,899.139700638092,1303809,0.609,0.476,0.777,0.61,44816,49.69,313522,7037.06,116.905002593994,2.06441104412079,24,924.466783828113,157.996756369231,122.246072645525,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1708",5,42182,42187,-68.4426434654737,1.8514938578967,0.998255931026902,37696.3226602964,NA,NA,4.17620518305502,0.000695818824682483,0,0,33.7532215859092,92.7999893368202,0,7.85593941758525,0,37.1010169056816,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.869995117188,2.05082696676254,22,967.332155092884,263.835856603417,202.357608144371,13.7009158246626,95.8230989981203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1852",5,1005752,1005757,-67.9021029551902,-3.55391155197576,0.00309101939019019,114343.053079944,0.0100396716132758,0.0125247388442847,99.845329415542,0.132106174000431,0,0,34.8203967256087,197.85104638523,0,0.110000610673938,51.6283171817582,0,1302306,0.516,0.34,0.766,0.528,14753,49.73,218279,13794.17,90.9400024414062,1.85620605945587,21,917.208066349752,38.1415184364278,9.69612680021678,23.0016309392328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1931",5,1005764,1005769,-67.6318326445736,-4.36472234387286,9.96009487974625e-06,443.50218043987,NA,0.000498005984039904,99.999501994016,NA,0,0,85.2912930690645,202.505512328546,0,0.808581594788096,0,836.927406729847,1302306,0.516,0.34,0.766,0.528,14753,49.73,218279,13794.17,114.819999694824,0.979021012783051,20,923.714668817315,97.9858187221654,57.1722141436779,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2118",5,156207,156212,-67.0912921703121,1.85149384755595,0.975918080603207,71851.6991612819,0.0228626185252816,NA,15.5183502334472,0.000695818824682483,0,0,78.9278404451352,117.554921771903,0,2.04812193044615,0,183.686805353913,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.550003051758,1.3184620141983,23,824.81286320186,216.918945285854,96.2103667632994,5.73617412053744,84.4580913292028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2178",5,1005752,1005757,-66.8210218564289,-4.0944520737466,0.000216686123053034,7893.35914810033,NA,0.00298208067721064,99.9891651068728,0.00785281244998802,0,0,76.0916133408039,201.655228646008,0,2.19316825737399,0,98.5430277756138,1302207,0.522,0.376,0.704,0.538,14312,52.1,99727,7145.78,100.200000762939,0.563748508691788,20,829.663800040705,85.1160550501999,51.0720740404426,9.86050482531846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2336",5,1005763,1005768,-66.2804813077671,-5.71607373331739,0.00145472592843043,63921.4551572738,NA,0.000695818824682483,99.9272372314761,0.0720669496992572,0,0,56.2419903027317,247.442200713111,0,1.2220867223098,0,0,1304104,0.502,0.355,0.694,0.512,17299,53.13,338818,18896.71,102.900001525879,1.0128585100174,16.5,875.387836748615,114.735231201165,110.023336660638,96.6114622795311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
