"parent_id","loss","no_change","tot_pixels","Long","Lat","division_3","ed_3","pland_0","pland_12","pland_15","pland_23","pland_3","pland_32","pland_33","pland_5","len.st.roads","len.fe.roads","dist.roads","len.rivers","len.waterways","dist.rivers","area.protected","area.indigenous","CODE","IDHM","IDHM_E","IDHM_L","IDHM_R","POP_2018","IPS","PIB","PIB_PC","loss.1","parent_id.1","no_change.1","dem.data","slope.data","wi.data","dist.mining","dist.urban","dist.pa","dist.il","pland_39","pland_4","pland_41","pland_25","pland_9","pland_24","pland_30","pland_20","pland_11"
"3376",3,698457,698460,-66.2129137703322,-6.63949714804096,0.446751104773763,511975.959091482,NA,0.00143082804880841,0.00572331219523363,NA,97.7554600398343,NA,2.23738581992171,NA,0,0,31.7943272962188,166.208276749039,0,0.79841593727857,0,188.289556589638,1304104,0.502,0.355,0.694,0.512,17299,53.13,338818,18896.71,NA,NA,NA,80.5499992370605,0.952635496854782,13.5,937.000096098286,169.707171547839,70.5626758588322,0.0986311936137801,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3669",3,698457,698460,-65.5372381103483,-6.86472235143445,0.00781779538204685,286035.670265339,NA,0.000143254161533393,NA,NA,99.6135002721829,NA,0.38635647365556,NA,0,14.1226366319966,10.6813725479183,115.058355482555,0,2.38851398864112,0,620.033400026442,1304104,0.502,0.355,0.694,0.512,17299,53.13,338818,18896.71,NA,NA,NA,98.3300018310547,1.43240094184875,12.5,902.937551360615,91.6048971904893,61.539870578915,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3865",3,698457,698460,-65.0867876657401,-6.8647223404889,0.00998839851639566,283430.996813774,NA,0.00415437068446838,0.00716270807666963,NA,99.4993267054408,NA,0.489356215798069,NA,0,0,18.0921026782578,108.346225017837,0,0.539773306132166,0,617.547963091096,1304104,0.502,0.355,0.694,0.512,17299,53.13,338818,18896.71,NA,NA,NA,81.0899963378906,0.921975016593933,13.5,870.546426555201,52.9838893132044,36.5217896395467,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4087",3,698457,698460,-64.6363371765907,-1.0088665184582,0.0220414630579902,299750.07333692,NA,0.579033320917973,0.0734893848666304,NA,98.9095493224078,NA,0.437927971807581,NA,0,0,74.5083350137684,120.210196373494,0,0.879079315952008,0,195.519488023932,1300409,0.5,0.315,0.728,0.545,27364,49.26,160472,5784.23,NA,NA,NA,66.8050003051758,1.02880951762199,17,501.375812184305,76.0186066925239,54.2629456723907,4.41772498743318,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4167",3,698457,698460,-64.4111119747527,-5.06292056653398,0.00376810608190237,140590.307961592,NA,0.000286165609761681,0.00357707012202102,NA,99.8131338568256,NA,0.183002907442595,NA,0,0,49.6667138384229,119.19711653718,0,1.51873793557519,0,0,1301209,0.586,0.425,0.78,0.606,84272,54.27,1320621,15580.35,NA,NA,NA,74.7200012207031,2.1087189912796,15.5,672.426832016478,148.043371122039,121.235681656251,74.5426163706759,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4265",3,698457,698460,-64.1858867352924,-5.06292056880335,0.0150747140873279,331512.795661767,NA,0.00114466243904673,0.0180284334149859,NA,99.4414047297452,NA,0.539422174400769,NA,0,0,62.6945689834336,140.782311384002,0,0.46637182956294,0,0,1301209,0.586,0.425,0.78,0.606,84272,54.27,1320621,15580.35,NA,NA,NA,68.6699981689453,1.40032303333282,15.5,654.987635923053,125.760902430296,96.7251977407025,84.2703486703291,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4266",3,698457,698460,-64.1858867352317,-4.83769533426834,0.0118292331020897,301727.613348136,NA,NA,0.00758338865868455,NA,99.4123589203544,NA,0.580057690986928,NA,0,0,38.5443626742161,155.291336332454,0,0.418757359829076,0,0,1301209,0.586,0.425,0.78,0.606,84272,54.27,1320621,15580.35,NA,NA,NA,70.120002746582,1.43107295036316,15.5,637.152760983577,139.413604031144,101.602647626845,106.508533938603,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5781",4,11306,11310,-60.8075083662178,5.29743976126467,0.99919340741171,133016.378456757,95.6839067365383,1.30401761980709,0.125693020429863,NA,2.84537100326574,NA,0.0410116199589884,NA,0,0,74.1005459253322,11.6462913397077,0,10.6731269346283,10.5806514775671,8.96637943341938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.090026855469,10.8055400848389,9.5,670.625678451288,238.489756623363,12.6711651566432,12.6985574637068,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10522",4,356,360,-49.7714723807424,-8.44129893358317,0.999999828600252,5421.97330739777,99.950863822594,NA,0.00444087900753517,NA,0.0414004526831504,NA,NA,NA,36.3450144319397,0,0.0921724962902255,125.213913980687,0,1.99064654474981,0,0,1506583,0.544,0.37,0.783,0.555,21042,53.28,375718,18020.91,NA,NA,NA,185.330001831055,1.38734197616577,3.5,220.473180410942,49.6457805559157,161.581997657099,45.4062823570742,NA,0.00329484571526803,NA,NA,NA,NA,NA,NA,NA
"12124",4,1444,1448,-46.1678687624849,-0.783641285103661,0.999999995919793,9503.64997171566,99.7890959456056,0.00801263707332707,0.104736613172775,0.0472173256106774,0.0115897071953481,0.0038632357317827,0.0103019619514205,0.025182573659028,0,0,32.9809121447263,0,0,28.5827032501188,16.0573162528497,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.3654477559612,45.8952163555053,10.2468401930605,138.133453775367,NA,NA,NA,NA,NA,NA,NA,NA,NA
