"parent_id","loss","no_change","tot_pixels","Long","Lat","division_3","ed_3","pland_0","pland_12","pland_15","pland_3","pland_33","len.st.roads","len.fe.roads","dist.roads","len.rivers","len.waterways","dist.rivers","area.protected","area.indigenous","CODE","IDHM","IDHM_E","IDHM_L","IDHM_R","POP_2018","IPS","PIB","PIB_PC","loss.1","parent_id.1","no_change.1","dem.data","slope.data","wi.data","dist.mining","dist.urban","dist.pa","dist.il","pland_4","pland_23","pland_32","pland_5","pland_41","pland_39","pland_25","pland_30","pland_9","pland_24","pland_11","pland_20"
"1498",12941,1356048,1368989,-67.2039047796853,-7.67553317434974,0.564365440010661,776013.437168065,NA,0.0530352838045146,3.30878807801885,94.6229819563153,2.01519468186135,8.19517209698402,0,11.2685508090609,317.391263784079,22.3839349322784,0.265373947919754,0,292.804943362909,1303502,0.496,0.317,0.724,0.531,19329,51.34,150716,7690.77,NA,NA,NA,133.165000915527,1.82639849185944,13.5,1095.31428098969,214.275280377138,35.0326777327552,6.63702242249504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4924",14991,1353979,1368970,-51.7534542987459,-8.93679444849384,0.973835662942061,3777684.80662297,NA,22.3564906129009,39.3377164146395,38.2772298926145,0.0117612681715246,76.3623936409875,35.0706862316656,0.925949533208131,235.412392561507,0,1.30579404528801,0,445.202868803133,1507300,0.594,0.411,0.798,0.638,124763,54.24,1392553,11157.74,NA,NA,NA,433.259994506836,4.44575905799866,6.5,269.99573921755,137.070958245293,196.025066274664,1.549774680406,NA,NA,NA,NA,0.00715903280005844,0.0096427788735481,NA,NA,NA,NA,NA,NA
"6057",22814,1346166,1368980,-46.7084093195325,-4.83769534726939,0.919586794300709,3682187.55431413,NA,0.00175323252246329,51.4070421506319,47.5050770691796,0.0116151654613193,18.8557370055386,0,16.8534284903914,145.034278243414,0,1.28244737117725,0,326.259119890734,2102036,0.558,0.431,0.751,0.537,33479,52.65,262621,7661.51,NA,NA,NA,311.910003662109,4.18670511245728,-3.5,200.182776132607,40.1569375809705,78.5816043583132,4.99099003188659,NA,NA,NA,NA,0.445028855285266,0.629483526919424,NA,NA,NA,NA,NA,NA
"5431",45628,1323389,1369017,-49.5462471048434,-3.57643408480587,0.960621311817908,3862203.80540558,NA,0.467674775367083,47.0100080356491,46.6131200233764,5.40930674264008,376.504564068765,19.334553890582,0.51722149847528,173.657340346737,36.6996473581135,2.28493592756191,0,109.679734118864,1501782,0.568,0.422,0.781,0.555,64738,57.64,580334,9040.32,NA,NA,NA,64.9549999237061,2.15221804380417,5.5,201.395471223184,17.2587553114051,36.6551285127741,8.86722943848145,NA,NA,NA,NA,0.337862517349697,NA,NA,NA,0.0832054934619037,0.0788224121557455,NA,NA
"1213",14993,1353974,1368967,-68.4651659882385,-9.252109732473,0.841017374519035,2656981.31541756,NA,0.0175323252246329,40.1366060340419,59.7777047264227,0.0677186061801446,41.1280802831968,41.1336493346837,0.529934277630387,194.12164851432,1.19301026760819,1.53553416902426,0,0,1200500,0.603,0.456,0.81,0.593,45177,55.99,500512,11602.31,NA,NA,NA,213.810005187988,3.09366750717163,9.5,1111.3565870004,28.1497578278745,42.3027478165116,25.7976037919165,NA,NA,NA,NA,NA,NA,0.000438308130615823,NA,NA,NA,NA,NA
"6555",29994,1149907,1179901,-44.501202074312,-2.31517281097169,0.80444352879862,3959625.64043275,13.855504419607,0.796844181459566,6.67338739133611,48.3833004602235,14.8557966250274,153.711956360827,0,1.38916557557635,229.100718967539,5.71318222229332,2.18378666094052,0,0,2100204,0.573,0.475,0.753,0.525,22083,56.51,116770,5387.8,NA,NA,NA,32.2000007629395,1.77648997306824,3.5,177.85464736085,12.2815329210493,37.9658270205889,164.030101361678,0.0581488786616992,0.313244210680108,0.674848418438162,14.2577982321572,0.0031412082694134,NA,NA,NA,NA,0.12798597413982,NA,NA
"5708",33364,1335559,1368923,-48.2849858930204,-4.52238003100696,0.845364343340601,2851635.23788161,NA,0.00168018116736065,43.5065380962817,53.2317919497407,0.127255460588794,140.918574434744,0,1.24713348145641,180.96434616154,0,1.0181077272938,0,0,1506187,0.602,0.457,0.788,0.606,51903,58.03,520490,10220.71,NA,NA,NA,170.139999389648,1.91010946035385,2.5,147.924280872071,34.5355010309685,90.3752934107087,76.9290209879583,NA,NA,NA,NA,0.429688070713712,2.70304624150778,NA,NA,NA,NA,NA,NA
"3017",9367,1322935,1332302,-60.2669678519999,-14.297154781613,0.936037831137126,2849304.05318133,2.69026225436482,1.4044123018482,33.6278763971072,45.7262035210753,0.687559354226021,150.829711883814,0,0.65262828163523,274.97773034764,55.6571199128825,1.25342377273654,0,0,5105507,0.645,0.495,0.843,0.644,15983,56.03,321353,20687.06,NA,NA,NA,198.809997558594,0.868505507707596,3.5,58.3615808248071,85.0500545542556,273.924602408453,36.7791437905169,3.69639856819344,NA,NA,NA,2.33362553875374,9.83366206443129,NA,NA,NA,NA,NA,NA
"2950",17710,1351259,1368969,-60.5822831486787,-13.3512088532248,0.998054829419002,2989202.24199089,NA,0.168821681642194,60.1195120169479,23.5702388779312,0.171816787201403,62.2579341416241,0.497851912469516,4.99336899638225,257.604340333092,0,0.506639525740098,0,0,1100031,0.65,0.559,0.757,0.65,5438,61.32,138894,22315.8,NA,NA,NA,390.745010375977,2.94321441650391,4.5,156.448544154634,14.8557786965912,190.620322043439,31.9627926703724,0.0200160712981226,NA,NA,NA,2.15647600262985,13.6179414128132,NA,NA,NA,0.175177149536124,NA,NA
"5207",22830,1346126,1368956,-50.4921930707024,-7.99084848493086,0.993865641897945,3690943.0503389,NA,0.0349915990941632,70.5879903572211,29.2432610124918,0.0475564321718168,167.11586465538,0,0.423488654695478,224.904948682197,0,1.48840179670907,0,0,1506138,0.672,0.561,0.804,0.674,83997,55.38,1699978,20614.79,NA,NA,NA,455.815002441406,3.03790593147278,6.5,169.184271427307,47.9167588163331,161.054549354559,45.0371719808899,NA,NA,NA,NA,0.0639929870699101,0.0222076119512017,NA,NA,NA,NA,NA,NA
"3135",28974,1339945,1368919,-59.9516525327101,0.837980327072827,0.458536150145344,2159354.70232776,NA,0.339981006647673,19.5272116297757,79.7641902257287,0.182701439111696,63.9529172793412,25.704325635508,0.125331036702154,258.075178732381,0,0.339114006330038,0,0,1400506,0.655,0.587,0.78,0.614,8052,61.17,155122,20041.66,NA,NA,NA,121.274997711182,1.78164100646973,7.5,174.444324465646,11.4897128669345,75.0061424850713,26.842755649056,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.185915698736212,NA,NA
"4596",9881,1359050,1368931,-53.3300309064531,-1.9998574905373,0.851527423343158,3105083.80702721,NA,11.7632405581124,2.63474322448681,64.0466798159106,21.5412374899554,0,0,23.4264348516074,180.127087755822,0,1.48097083048493,625.734676858648,0,1506005,0.523,0.359,0.779,0.512,29886,53.53,302523,10407.78,NA,NA,NA,4.25,0.520031005144119,3.5,320.605934306797,26.8932429454047,0.581121059353834,147.451703383311,NA,NA,NA,NA,0.0104463437796771,NA,NA,NA,0.00365256775513186,NA,NA,NA
"3079",11929,575979,587908,-60.2669678494087,5.25239475305535,0.484538018953229,1437386.24936051,22.6129614265208,3.58803155413325,1.31378978836606,72.022967616188,0.462249614791988,0,0,59.2888785401419,165.537999652752,0,1.21493666014338,438.152416261847,520.93893551652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,846.614990234375,5.22442436218262,8,661.663929464689,213.168424113635,0.326090237045111,0.344001392707629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4098",21814,1347113,1368927,-55.537238085462,-4.52238002613942,0.0836367961959673,1138783.72603258,NA,NA,4.20037986704653,95.7816494995982,0.00306815691431076,59.8922502557406,0,0.994916324942499,160.030781581206,0,4.19075517266442,405.112641493674,0,1506195,0.548,0.392,0.764,0.548,49503,52,359148,7315.67,NA,NA,NA,289.059997558594,5.49030113220215,9.5,191.40731032536,51.81820444746,3.92499946421234,56.1589686644084,NA,NA,NA,NA,0.014902476440938,NA,NA,NA,NA,NA,NA,NA
"2499",14493,1354475,1368968,-62.7894903375964,-1.05391156381968,0.748189388196955,3056915.0254887,NA,5.45854335597925,1.9861932938856,70.8162758419169,21.5525604499963,0,0,14.3726711016738,204.313388899032,43.9866834649819,0.0523769863491278,0,0,1300409,0.5,0.315,0.728,0.545,27364,49.26,160472,5784.23,NA,NA,NA,19.6000003814697,0.291180998086929,11.5,296.852240312113,255.635804512138,44.056211055427,142.074091702269,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18642705822193,NA,NA
"2840",9889,1359081,1368970,-61.2129137690622,-3.89174939610649,0.198811797679114,1158680.11638083,NA,0.151143253707356,3.20841551610782,93.3011907370882,3.27503835196143,7.08507385828161,0,10.8658138726943,250.94739777105,0.899148271836978,0.0147578599706728,0,42.7428337760255,1300631,0.506,0.346,0.731,0.512,19258,57.81,141404,7450.96,NA,NA,NA,41.2049999237061,0.901270985603333,16.5,366.158083764665,16.8401907063059,118.801418446584,8.31681810326889,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0642121411352181,NA,NA
"2003",31042,1337885,1368927,-64.9966975505598,-2.94580346542962,0.612763894039813,1766577.18714802,NA,0.3767258382643,1.63759222733582,83.6044269121192,14.3775294031704,0,0,19.4635254092953,257.444735390517,64.571351026416,1.62716062936826,0,59.7523739547326,1304260,0.527,0.378,0.724,0.535,13387,52.69,186400,13881.45,NA,NA,NA,43.6000003814697,0.927452981472015,21,592.160871557771,17.5074825707738,59.7408681952828,10.0582852957607,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00372561911023449,NA,NA
"5129",15011,1229331,1244342,-50.807508393005,-10.5133710015246,0.751841134700951,1951933.47761014,9.06881437650668,0.566074950690335,28.6314559135072,58.7616334283001,0.0108846519102929,125.168163127379,0,1.28538415006152,137.251697016891,0,0.33639731823114,0,294.699757864874,5107776,0.609,0.498,0.761,0.596,8281,54.33,111806,13890.64,NA,NA,NA,257.200012207031,1.23508596420288,3.5,433.584616308702,32.4856989220423,35.6451776259259,0.252306667554659,0.209072978303748,NA,NA,NA,0.30886112937395,2.44064577397911,NA,NA,0.0025567974285923,NA,NA,NA
"3752",8869,1360054,1368923,-57.1138146825985,-3.26111875708079,0.685546381830526,1441729.30985948,NA,2.83563445101907,2.69683687632406,87.0607056760903,7.40682299656659,0,0,5.44244643991416,264.307164832553,0,2.18318930623839,0,546.26777699848,1300508,0.574,0.522,0.774,0.469,31593,54.67,239532,7594.06,NA,NA,NA,20.2299995422363,2.12170791625977,14.5,132.643522505992,59.6967439895389,75.5809106205197,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4143",9893,1359051,1368944,-55.2219227747828,-12.405262892073,0.813885044254611,1351707.6309139,NA,0.060997881510702,2.4459054715465,47.8972167433706,0.145079991233837,136.416869839987,0,0.558338165969609,220.822408555246,0,1.05156732516068,0,0,5108501,0.68,0.568,0.834,0.663,11216,61.33,515315,47272.23,NA,NA,NA,389.899993896484,1.9465679526329,2.5,336.467024442448,12.8177825513724,319.424780657882,132.582081116647,0.0602673679596756,NA,NA,NA,4.27218934911243,44.8757396449704,NA,NA,NA,0.242603550295858,NA,NA
"4093",15013,1353926,1368939,-55.5372380939787,-6.09895659154108,0.345449520590943,1419691.48240302,NA,0.0251296661553072,14.7584191686756,84.8041493169698,0.0300241069471839,63.8792822415071,38.2479294634701,0.666927936748168,151.075733975313,0,3.40956596442604,814.977635636123,0,1503606,0.64,0.51,0.8,0.644,101097,52.08,1770652,17971.96,NA,NA,NA,327.75,3.04027509689331,9.5,116.228084000505,15.5225026645112,0,86.1737933576787,NA,NA,NA,NA,0.0201621740083279,NA,NA,NA,NA,0.362115567243772,NA,NA
"2296",12457,1356470,1368927,-63.7354362839627,1.15329564317913,0.0923237434306413,1439913.15433765,0.000803564906129009,1.43991526042808,1.32179121922712,95.3755570165827,1.86193293885602,0,0,5.99900727089499,260.551514394886,0,0.467266767774339,1003.50155077453,1027.20151353398,1300409,0.5,0.315,0.728,0.545,27364,49.26,160472,5784.23,NA,NA,NA,974.059997558594,20.8997898101807,13.5,451.274248235971,223.203586905456,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3865",19794,1349193,1368987,-56.4831840358401,-11.7746322695953,0.596825956277272,1228127.7350064,NA,0.0132222952735773,3.2022792022792,66.5042004529184,0.0744393308495872,128.828492124231,0,0.970767165564936,201.294347678819,0,2.90594173643004,0,0,5106802,0.685,0.561,0.815,0.703,5429,63.77,404675,76599.43,NA,NA,NA,383.929992675781,1.52760452032089,3.5,393.256473784255,53.1134982307163,321.526192408421,46.1421404291525,NA,NA,NA,NA,2.56870479947403,27.6371539192052,NA,NA,NA,NA,NA,NA
"5074",17750,1351188,1368938,-51.122823686461,-5.78364129642191,0.881757156898467,1816426.59021311,NA,0.00759734093067426,38.733800862006,61.2275549711447,0.0310468259186208,17.885295325489,34.9712806974765,0.717599162346775,120.249962900106,0,0.262912372335153,584.299100149734,0,1507300,0.594,0.411,0.798,0.638,124763,54.24,1392553,11157.74,NA,NA,NA,320.119995117188,4.16547214984894,6.5,64.5279844858877,91.5482855105693,3.12909588609325,27.8477966399853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2756",9901,1359040,1368941,-61.528229072974,-8.30616381774757,0.708541962609905,3169218.49308187,NA,39.5412374899554,3.45255314486084,56.755862371247,0.0805025933231062,1.71010568110464,0,7.33018119714525,285.938768939973,0,0.8544303443301,912.237523839002,50.0560289405542,1302702,0.582,0.456,0.747,0.58,54907,56.46,495942,9065.26,NA,NA,NA,100.129997253418,1.34600698947906,9.5,606.287293852352,41.4676330752418,0,16.1761077835458,NA,NA,NA,NA,0.169844400613631,NA,NA,NA,NA,NA,NA,NA
"1424",16734,1352231,1368965,-67.5192200725283,-8.9367944270995,0.336289437402692,1473796.65288609,NA,0.215939805683395,8.70516473080576,89.6897508948791,1.38914456863175,0,0,5.48886045527266,216.487257683835,70.7188797565838,0.8399723244483,20.04639073689,0,1300706,0.588,0.455,0.777,0.576,33976,52.4,364600,10668.3,NA,NA,NA,142.190002441406,0.92637699842453,8.5,1045.73954795903,71.6993817493619,13.8822215433508,20.4909205617586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2500",9393,1359645,1369038,-62.7894903380754,-0.738596257125314,0.654450764396327,3080660.58127384,NA,15.9460880999343,4.7285411644386,71.0406165534371,8.28475418219008,0,0,28.7532596740732,155.674705396324,3.05503864263345,1.82144607343532,0,0,1300409,0.5,0.315,0.728,0.545,27364,49.26,160472,5784.23,NA,NA,NA,38.1999988555908,0.655077010393143,11.5,295.049873102675,248.466581791865,78.3091391542347,149.903343167421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2910",9393,1359577,1368970,-60.8975984477915,-3.89174938725977,0.0230130902024779,361279.41492857,NA,0.0568339542698517,0.770326539557309,98.8837022426766,0.289137263496238,0,0,26.1475134253817,230.690673457152,0,2.37435244579816,0,0,1302553,0.596,0.51,0.748,0.556,31147,54.47,235922,7806.29,NA,NA,NA,41.3499984741211,1.03393250703812,14.5,355.961347014693,51.8527227458478,101.78648049696,37.0291759268484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4710",11441,1357513,1368954,-52.6994002288556,-10.1980556971309,0.68039875169061,2019646.26111054,NA,0.110161443494777,37.7440280517204,58.6661553071809,0.0573453137555702,218.364836398099,0,0.664081905979413,222.400362365551,0,0.579460743395234,0,9.87269567120115,5107743,0.684,0.55,0.828,0.704,2495,56.43,83495,34487.9,NA,NA,NA,299.794998168945,0.724806010723114,6.5,436.70179551554,33.1048056056125,222.3041127036,16.9469908352949,NA,NA,NA,NA,2.0359412667105,1.38636861713785,NA,NA,NA,NA,NA,NA
"4169",35524,1333414,1368938,-55.2219227712341,-4.20706469177749,0.5115225934927,3396292.14695656,NA,0.00445613266126087,27.990065015706,71.7972094382351,0.133683979837826,7.07294296590304,82.0779100327563,1.58656191947986,199.914128942812,0,1.59055490358138,135.695214785418,0,1506195,0.548,0.392,0.764,0.548,49503,52,359148,7315.67,NA,NA,NA,205.525001525879,5.88833498954773,7.5,215.697515776945,35.0038319808158,10.4638156895491,49.7017868373765,NA,NA,NA,NA,0.0721747388414055,0.00241069471838703,NA,NA,NA,NA,NA,NA
