"parent_id","loss","no_change","tot_pixels","Long","Lat","division_3","ed_3","pland_0","pland_12","pland_15","pland_3","pland_33","pland_5","len.st.roads","len.fe.roads","dist.roads","len.rivers","len.waterways","dist.rivers","area.protected","area.indigenous","CODE","IDHM","IDHM_E","IDHM_L","IDHM_R","POP_2018","IPS","PIB","PIB_PC","loss.1","parent_id.1","no_change.1","dem.data","slope.data","wi.data","dist.mining","dist.urban","dist.pa","dist.il","pland_4","pland_39","pland_41","pland_32","pland_23","pland_25","pland_24","pland_9","pland_30","pland_20","pland_11"
"8489",36549,661911,698460,-54.5012020661431,-2.81066830796791,0.907714910272374,3116465.2065266,NA,0.25040827436037,28.4850872417844,53.5674583846661,2.86637251812165,NA,223.397237245912,0,1.62526503755855,126.793579643076,0,0.758008384230386,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.300003051758,3.08835899829865,6.5,188.886878864503,42.6481168511709,43.978562269652,52.7504105076349,NA,12.5918975446237,2.23877603644386,NA,NA,NA,NA,NA,NA,NA,NA
"10841",36557,661903,698460,-49.0957966465006,-2.81066832457805,0.895758703908895,3790969.31728523,NA,0.213448700684755,43.6793398848237,55.0191960576455,0.767699051657451,NA,64.4581689359486,0,0.0752914662364428,133.835221304119,0,1.87235682111518,0,0,1504703,0.547,0.375,0.757,0.578,80988,54.51,892439,11179.94,NA,NA,NA,48.7900009155273,1.27450895309448,5.5,133.393451198151,18.3955255154381,67.8424546500138,18.2849754272839,NA,0.00415437068446838,0.00902501217660373,NA,NA,NA,NA,0.307136922327594,NA,NA,NA
"3170",40661,657776,698437,-66.6633642260992,-8.8917493916712,0.411571931780805,1732001.53210507,NA,0.000859524969200355,20.4958026530671,79.1840242959058,0.319313526057932,NA,0,0,3.05498337139105,98.6847910141993,0,3.95416567334744,198.879806523399,0,1302405,0.531,0.374,0.744,0.538,45245,50.24,494952,11033.02,NA,NA,NA,151.25,2.66760957241058,5.5,975.343622752304,95.034436672257,4.70121798015099,29.6830124552425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8157",61141,637319,698460,-55.1768777364552,-11.3692268523669,0.508469754163189,1724195.71414407,NA,NA,16.482996039468,71.8408747510359,0.0437833382935372,NA,101.251960700483,0,0.311346897575298,91.6928808682627,0,0.804690924193686,0,0,5103056,0.699,0.586,0.809,0.719,12052,60.75,409147,34922.06,NA,NA,NA,335.964996337891,1.88840103149414,4.5,448.474065930799,30.7051453643963,225.199984074564,129.176035329716,NA,9.49397335225842,2.13837251894416,NA,NA,NA,NA,NA,NA,NA,NA
"10171",46813,651543,698356,-50.6723732698242,0.792935286509518,0.493279093817574,7347358.55412494,NA,14.5233934045784,12.2224450620291,72.7996160788471,0.0633183393977595,NA,92.982067380708,0,1.82560846852352,68.9871266768529,0,4.30527659101911,0,0,1600303,0.733,0.663,0.82,0.723,493634,62.46,9994877,21054.88,NA,NA,NA,23.2099990844727,0.823536992073059,7.5,132.445896086505,56.2043791273932,48.4559192570148,193.806124777802,NA,0.186946680801077,0.193249863908547,NA,NA,NA,NA,0.0110305704380712,NA,NA,NA
"9062",36637,661824,698461,-53.1498506941115,-6.18904668878477,0.538287840478484,1899271.47760718,NA,0.0818960880633942,23.5612607121087,76.3409229445301,0.0159202552977877,NA,30.348337739226,0,1.90007925123622,114.93837020794,0,1.65656396120827,6.90593376211354,0,1507300,0.594,0.411,0.798,0.638,124763,54.24,1392553,11157.74,NA,NA,NA,221.529998779297,2.51438248157501,6.5,230.117625416558,100.313331178439,12.5857288587845,75.2267766532331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5839",40789,657671,698460,-60.5822831205999,-3.71156921863345,0.60036924210793,3592642.03875772,NA,0.112884279288313,8.91513623470762,84.7656361917314,6.2063432942727,NA,0,0,20.1299043218289,125.556548116014,0,2.22321605353634,0,111.11855649172,1302553,0.596,0.51,0.748,0.556,31147,54.47,235922,7806.29,NA,NA,NA,32.7000007629395,1.1508229970932,12.5,329.321045870624,45.0213077322851,74.9698427458146,2.84014553503444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5424",49013,649428,698441,-61.4831840270918,-8.89174937886606,0.365321750603466,1045111.93329991,NA,0.3234678967424,13.1349740709968,85.6465060310002,0.832020170185944,NA,27.131454421307,0,2.26018857117717,160.597246514896,18.7287701709789,0.368865790179573,196.882502040241,0,5103254,0.611,0.443,0.815,0.633,37280,53.03,528694,14620.57,NA,NA,NA,147.960006713867,1.6156040430069,5.5,650.582502876633,80.2526807383159,2.55648533180487,35.9502506841559,NA,NA,0.0630318310746927,NA,NA,NA,NA,NA,NA,NA,NA
"8867",82747,615656,698403,-53.6003011652576,-5.96382145168132,0.212234973437886,1068496.9591116,NA,0.58206085025526,9.57538746823562,89.8209461779721,0.0216055035370069,NA,0,0,4.95444276709529,77.9777352052811,0,1.62850575648839,0,0,1500602,0.665,0.548,0.811,0.662,113195,54.67,2500591,22439.9,NA,NA,NA,365.030014038086,4.01211893558502,6.5,284.137234606765,150.345948122026,25.5845688626336,86.3515926182599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5376",119803,578552,698355,-61.7084092806959,2.36951186929858,0.339680171663149,4661461.81612717,NA,0.84577256969315,16.6243589376271,82.5262871386414,0.00358135403833481,NA,45.6628995213603,0,0.328983425936682,155.805504861138,0,1.09849812013542,0,0,1400308,0.665,0.547,0.813,0.661,17528,56.57,300036,17804.2,NA,NA,NA,140.800003051758,1.71663302183151,3.5,384.675945768659,75.0815648481586,15.497181286167,14.8936829018644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9661",77163,621300,698463,-51.7984993492163,-3.7115692073047,0.230006347433012,1711400.29714352,NA,0.0455003319521073,8.64549231931504,89.0379970696642,2.2710102790687,NA,0,0,3.03329290060105,116.299471969721,8.25827278944495,1.05287916689338,0,52.5753453935292,1507805,0.514,0.338,0.754,0.533,11839,53.89,126966,11179.54,NA,NA,NA,160.880004882812,2.36851000785828,6.5,262.623127475496,63.2456938061107,119.308270777345,8.97195471782548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6314",81611,616835,698446,-59.4561570289761,-7.08994756712717,0.669506948980741,3124630.21305083,NA,0.689802202330533,30.050393763879,69.2546530528147,0.00515098097571026,NA,39.6092004113599,17.7296425890983,0.402267792652899,75.5645463824569,0,1.46583372563225,0.566713002880692,0,1300144,0.637,0.54,0.772,0.621,21583,52.15,193460,9037.65,NA,NA,NA,192.149993896484,1.63843095302582,9.5,621.440289066733,47.7673979579264,16.5038581732354,114.265766486788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9665",69595,628869,698464,-51.7984993503586,-2.81066830988304,0.557477195314904,3035986.11253212,NA,0.81411339999427,28.2206400595937,69.4503337821964,1.51491275821563,NA,151.45762861481,0,0.533278475569642,92.5731414648477,2.06453326604589,1.10485256229705,0,0,1507805,0.514,0.338,0.754,0.533,11839,53.89,126966,11179.54,NA,NA,NA,86.8999977111816,1.55937349796295,4.5,344.266740185472,34.9490356307103,49.2517224282885,39.3779031490557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11628",19459,678998,698457,-47.2939948920855,-2.13499264621588,0.97430558507667,3849228.95203946,NA,0.0157579577686732,69.8442827264132,29.9202074320259,0.187806205770278,NA,192.58215326086,0,0.505455217236389,128.776556681814,0,1.30545496811344,0,0,1502301,0.548,0.385,0.747,0.573,54179,54.49,453986,8591.87,NA,NA,NA,70.5200004577637,1.59334599971771,10.5,69.4419477444816,28.6616969366224,128.543885010158,40.9455364370814,NA,NA,0.010600807953471,NA,NA,0.00501389565366874,0.0163309744148067,NA,NA,NA,NA
